,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01
2018-01-30,81.513423,81.24342299999998,80.793423,80.39576600000002,79.97404399999998,79.533423,79.013423,78.506672,78.083423,77.74342299999998,77.423423,77.11898599999998,76.803423,76.523423,76.24342299999998,75.995626,75.728421,75.439799,75.416309,75.43868,75.512186,75.52719300000003,75.51698,75.637785,75.742727,75.68644300000003,75.501727,75.214967,74.941212,74.80313000000002,74.70869300000003,74.63443000000002,74.519421,74.430952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,81.513423,81.414765,81.024765,80.618146,80.195386,79.754765,79.224765,78.718014,78.31476500000002,78.004765,77.694765,77.38971,77.074765,76.794765,76.514765,76.269408,75.999137,75.711141,75.687651,75.687651,75.749971,75.764978,75.754765,75.87557,75.980512,75.902416,75.705955,75.41919399999998,75.14544000000002,75.007358,74.912921,74.838658,74.723648,74.63518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,82.477919,82.01791899999998,81.5813,81.147914,80.687919,80.15791899999998,79.61209699999998,79.15791899999998,78.78791899999997,78.467919,78.164101,77.81791899999997,77.53791899999997,77.257919,77.011342,76.74229100000002,76.497919,76.37603399999998,76.364362,76.426682,76.441689,76.431476,76.55228100000002,76.632818,76.54557,76.327754,76.05395899999998,75.76563399999998,75.595601,75.488961,75.414698,75.299688,75.18834,75.093988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,81.078523,80.658523,80.263982,79.86976899999998,79.398523,78.88852299999998,78.342237,77.928523,77.578523,77.268523,76.974086,76.618523,76.338523,76.058523,75.810726,75.542895,75.298523,75.154753,75.13140899999998,75.193729,75.23208000000002,75.254451,75.36630799999998,75.433422,75.346174,75.12835799999998,74.854563,74.566238,74.396204,74.31290899999998,74.248859,74.156729,74.056058,73.961706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,,79.813356,79.463356,79.110892,78.745227,78.323356,77.83335600000002,77.31660600000002,76.91335600000002,76.593356,76.313356,76.038301,75.703356,75.42335600000001,75.14335600000003,74.89555899999998,74.628354,74.383356,74.28335600000003,74.28335600000003,74.345676,74.384027,74.406399,74.53839,74.643332,74.565235,74.34741899999999,74.073624,73.80825899999998,73.648823,73.565527,73.50147700000002,73.409347,73.308676,73.214324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,,78.638859,78.388859,77.986395,77.60073,77.188859,76.73885899999998,76.251644,75.87885899999998,75.59885899999998,75.328859,75.063804,74.73885899999998,74.478859,74.218859,74.001062,73.753857,73.558859,73.45885899999998,73.48123000000002,73.554736,73.593087,73.615459,73.767584,73.885949,73.807852,73.590037,73.316242,73.050876,72.91279399999998,72.841701,72.777651,72.708401,72.641287,72.557613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,,76.893893,76.643893,76.292468,75.90639,75.493893,75.04389300000003,74.606678,74.26389300000002,73.993893,73.743893,73.497602,73.213893,72.993893,72.79389300000003,72.623655,72.45951600000002,72.31389300000002,72.257663,72.32575,72.43121500000002,72.55238100000003,72.65013499999998,72.844766,73.000958,72.975638,72.802667,72.541074,72.344589,72.28100699999997,72.28100699999997,72.25919499999998,72.22457,72.191013,72.138789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,,76.405034,76.19503399999998,75.746725,75.356905,74.975034,74.575034,74.18735500000003,73.765034,73.55503399999998,73.345034,73.11874300000002,72.88503399999998,72.675034,72.49503399999998,72.57479599999998,72.410657,72.265034,72.066919,72.145705,72.283129,72.39373499999998,72.458904,72.622215,72.764985,72.717853,72.554491,72.30510100000002,72.085656,72.011477,72.011477,71.989665,71.95504,71.921483,71.89003199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,,73.762416,73.542416,73.166184,72.815538,72.462416,72.08241600000002,71.70380899999998,71.41241600000002,71.172416,70.952416,70.755507,70.522416,70.312416,70.132416,70.209737,70.048664,69.902416,69.726186,69.674362,69.83256,69.979294,70.121789,70.358926,70.552947,70.536778,70.406516,70.219664,70.039957,69.976376,69.976376,69.976376,69.976376,69.976376,69.976376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,,73.54973199999998,73.319732,72.956616,72.613479,72.289732,71.919732,71.54066,71.249732,71.009732,70.789732,70.592823,70.369732,70.15973199999999,69.979732,70.057053,69.896606,69.749732,69.573502,69.686332,69.855715,70.002449,70.122573,70.348524,70.54254499999998,70.548188,70.429671,70.217651,70.029555,69.987328,69.999531,69.999531,69.976651,69.94309399999999,69.91164300000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,,73.27416099999998,73.004161,72.776238,72.571034,72.334161,72.064161,71.785089,71.544161,71.294161,71.064161,70.856634,70.644161,70.434161,70.254161,70.331482,70.17103399999999,70.02416099999999,69.847931,69.938389,70.096587,70.266665,70.419373,70.69677800000002,70.94205,70.956846,70.838328,70.62630899999998,70.415252,70.341074,70.341074,70.341074,70.31819399999999,70.26175699999999,70.198856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,,74.804899,74.604899,74.344899,74.04927099999998,73.784899,73.524899,73.266292,73.014899,72.764899,72.514899,72.27799,72.074899,71.874899,71.69489899999998,71.773441,71.611147,71.464899,71.288669,71.379127,71.516551,71.627158,71.73706899999998,71.96302,72.157041,72.140872,71.989255,71.739866,71.52042,71.48895,71.536699,71.568725,71.51183,71.411159,71.316807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,,74.956242,74.772685,74.502669,74.19827099999998,73.906421,73.624558,73.348177,73.07077199999998,72.79395699999998,72.516681,72.264146,72.066767,71.87134300000002,71.691343,71.76988399999998,71.595919,71.433658,71.25155600000002,71.319642,71.445881,71.556487,71.64402700000002,71.838658,72.019256,72.003088,71.830116,71.518188,71.259004,71.195583,71.23113000000002,71.28496700000002,71.285577,71.20626,71.091135,70.97288590604029,70.84536912751679,70.7245637583893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,,75.708054,75.558054,75.324938,74.991176,74.668054,74.35805400000002,74.049911,73.74805400000002,73.49805400000002,73.228054,72.97114499999998,72.738054,72.518054,72.29805400000002,72.387816,72.223677,72.07805400000002,71.87993900000002,71.91398199999998,72.008262,72.106084,72.193624,72.388255,72.544448,72.51912800000002,72.34615699999998,72.05939599999998,71.808601,71.723826,71.74717,71.779195,71.76805999999998,71.688743,71.57361800000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,,76.614094,76.46409399999997,76.198901,75.846591,75.484094,75.13409399999998,74.796415,74.46409399999997,74.204094,73.94409399999998,73.687803,73.44409399999998,73.224094,73.014094,73.105076,72.939717,72.794094,72.57409399999997,72.59646500000002,72.66997099999998,72.731666,72.808993,73.003624,73.159817,73.112685,72.927968,72.61604,72.35685600000002,72.250726,72.238523,72.238523,72.215644,72.13632700000002,72.021202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,,76.57986600000002,76.429866,76.185711,75.852363,75.51986600000002,75.199866,74.86125899999998,74.509866,74.249866,73.999866,73.77295699999998,73.529866,73.29986600000002,73.099866,73.210848,73.05611400000002,72.93986600000002,72.74175100000002,72.77579399999998,72.870074,72.944552,73.021879,73.21651,73.397108,73.38094,73.20796899999998,72.921208,72.693374,72.59784,72.585638,72.585638,72.562758,72.483441,72.389089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
